vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
19XFC2F68KE214723,2019,Honda,Civic,LX Sedan ,18995,91950,Automatic,FWD,Gas,30,38,Platinum White Pearl,Black, Newhall, CA
1C4RJFBG2NC138274,2022,Jeep,Grand,Limited ,39900,24570,Automatic,4WD,Gas,18,25,Bright White Clearcoat,Black, Online Retailer,
3TMCZ5AN3LM327813,2020,Toyota,Tacoma,SR5 Double Cab 5' Bed V6  ,38999,25479,Automatic,4WD,Gas,18,22,Midnight Black Metallic,Cement, Raleigh, NC
WA1EECF39L1031041,2020,Audi,Q3,S line Premium Plus,31173,41588,Automatic,AWD,Gas,19,27,Mythos Black Metallic,Black, Fort Lauderdale, FL
5XYPKDA54KG522430,2019,Kia,Sorento,SX V6 ,27990,56820,Automatic,AWD,Gas,19,24,Snow White Pearl,Satin Black, Bountiful, UT
5N1AT2MT9JC802618,2018,Nissan,Rogue,SV ,14995,126214,Automatic,FWD,Gas,26,33,Pearl White,Charcoal, Downey, CA
KMHD74LF2LU057586,2020,Hyundai,Elantra,SE 2.0L IVT,19998,40798,Automatic,FWD,Gas,30,40,Phantom Black,Gray, Memphis, TN
1FA6P8CF0J5107404,2018,Ford,Mustang,GT Fastback,30999,57313,Manual,RWD,Gas,15,25,Lightning Blue Metallic,Ebony, Orlando, FL
WVGAV7AX0HK050595,2017,Volkswagen,Tiguan,S ,19998,34070,Automatic,FWD,Gas,20,24,Reflex Silver Metallic,Black, Ellicott City, MD
W1NYC7HJ1MX387454,2021,Mercedes-Benz,G-Class,AMG G 63 4MATIC,234777,8442,Automatic,AWD,Gas,13,16,Black,Bengal Red/Black, Sherman Oaks, CA
5XYPG4A58LG690221,2020,Kia,Sorento,LX V6 ,20997,48400,Automatic,FWD,Gas,19,26,Everlasting Silver,Black, Jacksonville, FL
1HGCS2B82AA006529,2010,Honda,Accord,EX-L V6 Coupe ,8495,131295,Automatic,FWD,Gas,19,28,Gray,Black, San Diego, CA
JTMCY7AJ3K4077849,2019,Toyota,Land,,61988,114070,Automatic,4WD,Gas,13,18,Blue Onyx Pearl,Unknown, Englewood, CO
1FTFW1ET9DKD04407,2013,Ford,F-150,Lariat SuperCrew 5.5' Box ,22321,110037,Automatic,4WD,Gas,14,19,Tuxedo Black Metallic,Steel Gray, Corpus Christi, TX
1FMSK8DH0LGC55417,2020,Ford,Explorer,XLT ,33995,39785,Automatic,4WD,Gas,20,27,Oxford White,Ebony, Patchogue, NY
