vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
KL8CD6SA4MC735829,2021,Chevrolet,Spark,1LT ,14999,37625,Automatic,FWD,Gas,30,38,Summit White,Jet Black/Dark Anderson Silver Metallic, Modesto, CA
1C4HJXDG4LW190046,2020,Jeep,Wrangler,Unlimited Willys,38750,37839,Automatic,4WD,Gas,17,23,Bright White Clearcoat,Black, West Covina, CA
1FTFW1RG9JFE46919,2018,Ford,F-150,Raptor SuperCrew 5.5' Box ,45998,109430,Automatic,4WD,Gas,15,18,Shadow Black,Black, Garland, TX
3C4NJDBB4KT812853,2019,Jeep,Compass,Latitude ,23998,37402,Automatic,4WD,Gas,22,31,Jazz Blue Pearlcoat,Black, Warwick, RI
1FA6P8CF8H5277679,2017,Ford,Mustang,GT Fastback,31952,43063,Manual,RWD,Gas,15,25,Shadow Black,Ebony, Cerritos, CA
1C4PJMLB6KD486017,2019,Jeep,Cherokee,Latitude Plus ,24998,38328,Automatic,4WD,Gas,21,29,Blue Shade Pearlcoat,Black, Gaithersburg, MD
1FMCU0H68LUA57162,2020,Ford,Escape,SEL ,24223,27824,Automatic,FWD,Gas,27,33,Magnetic Metallic,Ebony, North Hollywood, CA
1FTEW1E44KFC44742,2019,Ford,F-150,XLT SuperCrew 5.5' Box ,38998,49357,Automatic,4WD,Gas,18,23,Ruby Red Metallic Tinted Clearcoat,Black, Garland, TX
1C6RREFT2KN828978,2019,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box ",35998,32613,Automatic,RWD,Gas,20,25,Maximum Steel Metallic Clearcoat,Black, Fort Worth, TX
3GNAXHEV7KL276482,2019,Chevrolet,Equinox,LS with 1LS ,18998,90928,Automatic,FWD,Gas,26,32,Summit White,Medium Ash Gray, Columbus, OH
3GCUKREC1JG561856,2018,Chevrolet,Silverado,LT Z71 Crew Cab Short Box ,41998,21088,Automatic,4WD,Gas,17,22,Summit White,Jet Black, Waterbury, CT
1C4HJXDM3MW548115,2021,Jeep,Wrangler,Unlimited Sport S,39998,19380,Automatic,4WD,Diesel,17,23,Bright White Clearcoat,Black, Roseville, CA
1FM5K8GCXLGC12233,2020,Ford,Explorer,ST ,45998,22004,Automatic,4WD,Gas,18,24,Magnetic Metallic,Ebony, Boynton Beach, FL
2C4RC1GG8LR262981,2020,Chrysler,Pacifica,Limited ,38998,21694,Automatic,FWD,Gas,19,28,Granite Crystal Metallic Clearcoat,Black, Grand Rapids, MI
1FMCU0G66NUA25010,2022,Ford,Escape,SE ,26768,32491,Automatic,FWD,Gas,28,34,Agate Black Metallic,Dark Earth Gray, Online Retailer,
1FMCU9F69MUA08903,2021,Ford,Escape,S ,23998,12320,Automatic,AWD,Gas,26,31,Agate Black Metallic,Dark Earth Gray, Ellicott City, MD
1C6RREJT7NN143127,2022,Ram,1500,"Laramie Crew Cab 5'7"" Box ",47998,31061,Automatic,RWD,Gas,20,25,Ivory White Tri-Coat Pearlcoat,Black, Ontario, CA
2GNAXKEV8N6142649,2022,Chevrolet,Equinox,LT with 1LT ,24995,21956,Automatic,FWD,Gas,26,31,Iron Gray Metallic,Medium Ash Gray, Inglewood, CA
3GCUKRECXFG169417,2015,Chevrolet,Silverado,LT with 1LT Crew Cab Short Box ,23888,145431,Automatic,4WD,Gas,17,22,Summit White,Jet Black, Torrance, CA
2C3CDXHG7MH605621,2021,Dodge,Charger,GT ,28499,41142,Automatic,RWD,Gas,19,30,Granite Pearlcoat,Black, Anaheim, CA
2C3CDXBG5DH639033,2013,Dodge,Charger,SE ,10995,127281,Automatic,RWD,Gas,18,27,Granite Crystal Metallic,Black Interior, South El Monte, CA
2C4RDGCG3KR643142,2019,Dodge,Grand,SXT,19999,64840,Automatic,FWD,Gas,17,25,Billet Clearcoat,Black, South Gate, CA
1G1PG5SB9G7119309,2016,Chevrolet,Cruze,Limited LTZ Sedan AT,11970,86665,Automatic,FWD,Gas,26,38,Red Hot,Jet Black, Montclair, CA
1FMJK1HT4HEA04209,2017,Ford,Expedition,EL XLT ,19599,108116,Automatic,RWD,Gas,15,20,Silver,Ebony, Montclair, CA
3FADP4AJ0EM195247,2014,Ford,Fiesta,S Sedan,7950,76416,Automatic,FWD,Gas,28,36,Ingot Silver Metallic,Charcoal Black, Burbank, CA
3C4NJDBB0KT672560,2019,Jeep,Compass,Latitude ,21998,58905,Automatic,4WD,Gas,22,31,Diamond Black Crystal Pearlcoat,Black, Roswell, GA
1C4PJLDB4JD580601,2018,Jeep,Cherokee,Limited ,18059,87759,Automatic,FWD,Gas,21,30,Granite Crystal Metallic Clearcoat,Black, Los Angeles, CA
5YJSA1H40FF083085,2015,Tesla,Model,P85D ,29900,117194,Automatic,AWD,Electric,253,,Red,Black, Signal Hill, CA
1D4GP25B17B111819,2007,Dodge,Caravan,SE,4790,93333,Automatic,FWD,Gas,20,26,Stone White,Medium Slate Gray, Santa Clarita, CA
2C3CDXGJ6MH559227,2021,Dodge,Charger,Scat Pack ,46995,50573,Automatic,RWD,Gas,15,24,Pitch Black Clearcoat,Black, Valencia, CA
3GNAXLEX3KL160622,2019,Chevrolet,Equinox,LT with 2LT ,20800,50965,Automatic,FWD,Gas,22,29,Mosaic Black Metallic,Jet Black, Torrance, CA
1FTFW1E87MKD57666,2021,Ford,F-150,XLT SuperCrew 5.5' Box ,41018,61238,Automatic,4WD,Gas,19,22,White,Gray, Long Beach, CA
1G1ZD5ST5MF009658,2021,Chevrolet,Malibu,LT,20988,60005,Automatic,FWD,Gas,29,36,Mosaic Black Metallic,Jet Black, Gladstone, OR
3C4NJDDB8MT572285,2021,Jeep,Compass,Trailhawk ,24661,42125,Automatic,4WD,Gas,22,30,Billet Silver Metallic Clearcoat,Ruby Red/Black, Gilroy, CA
1C4HJXFN9KW505384,2019,Jeep,Wrangler,Unlimited Rubicon,46000,16005,Automatic,4WD,Gas,17,23,Granite Crystal Metallic Clearcoat,Black, Corona, CA
2FMGK5C80KBA01394,2019,Ford,Flex,SEL ,16990,107550,Automatic,FWD,Gas,16,23,White Platinum Metallic Tri-Coat,Dune, Santa Ana, CA
1C6RREFT4KN639829,2019,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box ",28755,96615,Automatic,RWD,Gas,20,25,Billet Silver Metallic Clearcoat,Black, Pacoima, CA
KL8CD6S92EC574792,2014,Chevrolet,Spark,LT with 1LT AT,9291,81958,Automatic,FWD,Gas,30,39,Salsa,Silver W/Silver Trim, Valencia, CA
1C6SRFJT4MN693519,2021,Ram,1500,"Laramie Crew Cab 5'7"" Box ",42850,50253,Automatic,4WD,Gas,19,24,Billet Silver Metallic Clearcoat,Black, Hyattsville, MD
3C6RR6KG1JG214252,2018,Ram,1500,"Tradesman Crew Cab 5'7"" Box ",19890,99009,Automatic,RWD,Gas,17,25,Granite Crystal Metallic Clearcoat,Diesel Gray/Black, Montclair, CA
3GKALMEV9KL120039,2019,GMC,Terrain,SLE ,17649,74226,Automatic,FWD,Gas,26,30,Quicksilver Metallic,Jet Black, Montclair, CA
1FTEX1CP4KKC34956,2019,Ford,F-150,XL SuperCab 6.5' Box ,26911,54793,Automatic,RWD,Gas,19,25,Velocity Blue Metallic,Black, Ontario, CA
1FMCU0F6XLUB69450,2020,Ford,Escape,S ,17999,34530,Automatic,FWD,Gas,27,33,Agate Black Metallic,Dark Earth Gray, La Habra, CA
